State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,"Net rent - loss 
no.","Net rent - loss 
$","Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$",Net income or loss - primary production no.,Net income or loss - primary production $,Net income or loss from business - primary production no.,Net income or loss from business - primary production $,Net income or loss from business - non-primary production no.,Net income or loss from business - non-primary production $,"Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Total net medical expenses tax offset
no.","Total net medical expenses tax offset
$","Low income tax offset
no.","Low income tax offset
$"," People with private health insurance
no. ","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$"
ACT,2906,"11,021","10,980","681,005,002","9,690","143,178,077","8,903","12,541,534",161,"172,269","9,246","150,222,795",356,"1,223,276","9,690","618,692,606","1,803","5,806,971",202,"4,190,512",146,"1,644,124",418,"2,336,432",426,"3,921,024",280,"2,006,840",827,"26,177,609","6,098","4,660,549",534,"153,187","2,313","4,756,204","2,307","2,036,538","10,991","704,068,183","3,039","6,650,089",977,"914,308","4,635","1,171,390",651,"964,285","5,943","5,481,614",511,"311,710",221,"307,669",160,"483,723","5,048","1,799,138","4,848","1,656,322","9,175","22,563,219",619,"10,975,200","1,249","8,718,632",12,"-183,839",861,"13,344,422",413,"796,633",63,"1,836,570",6,"196,237",123,"1,104,558",418,"4,348,350",370,"1,057,092",541,"9,533,292",615,"10,576,070",429,"1,112,331",369,"203,948",361,"66,243","1,680","28,984,682","1,563","21,199,417","1,229","4,106,805","1,698","16,617,621",290,"1,682,750","1,414","-14,621,911","1,705","-12,939,161",427,"577,646",54,"250,062",103,"1,527,622",542,"1,250,676",8,"141,209",574,"35,558,345",582,"35,699,554",578,"23,493,245",17,"-49,349",600,"11,616,786",615,"11,567,437",358,"2,071,744",570,"1,549,800",220,"185,395","5,092","1,488,720","7,194","9,525","153,723,630"
ACT,2911,"2,724","2,711","180,994,868","2,394","40,195,564","2,100","3,178,091",49,"52,257","2,329","42,624,220",201,"735,035","2,413","171,406,039",514,"1,653,937",32,"479,157",27,"197,145",75,"405,148",45,"357,778",26,"148,062",103,"3,719,177","1,632","1,341,347",119,"88,422",402,"2,095,449",400,"895,455","2,710","187,759,561",916,"1,991,910",318,"330,586","1,062","308,515",286,"527,242","1,630","1,681,483",141,"124,691",66,"107,393",41,"73,250","1,046","408,693","1,135","370,387","2,277","6,572,210",166,"2,821,694",263,"1,446,362",5,"69,131",208,"3,665,259",97,"459,341",19,"362,955",1,"1,049",28,"264,705",111,"1,444,626",92,"362,538",149,"3,012,661",175,"3,913,124",93,"319,770",80,"105,248",84,"11,074",630,"10,880,260",597,"7,623,731",448,"1,747,938",644,"6,417,121",111,"640,343",541,"-5,548,873",652,"-4,908,530",114,"119,421",14,"29,690",16,"368,635",136,"277,872",10,"169,111",135,"11,537,707",145,"11,706,818",144,"8,537,816",10,"64,169",144,"2,941,759",154,"3,005,928",91,"813,102",77,"277,973",32,"31,792","1,147","320,389","1,760","2,373","44,327,341"
ACT,2912,"3,703","3,680","217,283,422","3,096","45,727,073","2,649","3,685,303",62,"69,509","2,935","48,145,101",192,"704,226","3,291","203,325,642",631,"1,730,864",56,"1,163,786",43,"446,552",198,"1,086,221",86,"936,901",39,"292,755",120,"3,668,956","2,174","1,674,894",150,"66,942",561,"2,047,131",561,"877,618","3,687","225,272,718",986,"2,115,538",365,"393,084","1,417","405,706",300,"532,903","1,972","1,903,421",174,"157,733",72,"92,489",72,"210,901","1,274","801,085","1,399","496,913","2,891","7,774,330",177,"3,000,663",311,"2,301,487",9,"73,837",243,"4,013,247",104,"311,377",22,"468,467",1,185,43,"396,285",126,"1,400,712",117,"347,896",182,"4,250,453",209,"3,923,093",138,"561,790",112,"86,794",116,"44,944",762,"15,651,141",722,"10,257,383",537,"2,461,231",777,"8,427,202",170,"1,062,213",609,"-6,556,888",779,"-5,494,675",158,"351,633",25,"84,330",17,"324,169",173,"330,664",11,"422,575",202,"14,187,007",212,"14,609,582",202,"10,604,176",11,"-137,505",212,"3,967,375",221,"3,829,870",125,"819,720",79,"199,240",35,"44,760","1,660","495,263","2,075","3,218","50,574,130"
ACT,2913,"20,718","20,632","1,321,628,604","17,984","288,594,258","16,274","24,072,016",296,"330,743","17,174","304,128,273","1,155","4,158,208","18,055","1,184,783,492","3,220","11,248,719",360,"8,241,088",304,"4,065,045",914,"4,904,477",643,"5,653,401",365,"2,796,393","1,266","42,924,367","12,422","11,909,774","1,095","645,110","4,195","16,314,505","4,179","6,988,835","20,657","1,369,549,769","5,696","12,678,962","1,935","1,939,565","7,677","2,003,938","1,609","2,920,314","11,283","10,848,579",910,"778,682",500,"815,688",422,"1,517,379","8,449","3,444,523","8,389","2,976,033","16,972","46,983,618","1,154","21,337,546","2,165","17,221,111",38,"144,992","1,863","44,463,427",884,"3,735,341",130,"3,544,887",19,"196,824",251,"2,392,398",847,"9,975,176",750,"2,751,222","1,134","25,914,555","1,262","25,993,631",955,"2,755,846",823,"823,034",789,"339,237","3,734","76,812,225","3,470","49,478,296","2,799","11,519,571","3,817","43,462,592",819,"5,538,593","3,005","-33,186,827","3,828","-27,648,234",922,"1,475,297",142,"536,692",196,"4,363,456","1,059","2,603,291",54,"842,921","1,200","125,835,713","1,249","126,678,634","1,218","101,316,911",63,"-149,826","1,258","23,837,088","1,315","23,687,262",746,"5,252,493",885,"2,843,134",360,"285,892","9,293","2,707,850","13,514","17,704","302,907,277"
ACT,2914,"13,627","13,567","906,680,289","11,868","202,492,193","10,611","16,133,922",241,"259,662","11,436","214,723,007",763,"2,891,892","12,240","854,589,770","2,335","8,283,332",190,"3,318,089",178,"2,928,171",558,"2,830,667",286,"2,518,515",170,"1,125,964",479,"14,818,224","7,861","5,395,068",597,"257,400","2,192","6,077,426","2,185","2,602,049","13,581","938,026,217","4,185","9,498,806","1,409","1,428,233","5,345","1,488,280","1,211","2,144,832","7,865","7,995,567",629,"522,514",267,"305,615",207,"530,284","5,275","2,092,696","5,586","1,941,903","11,205","30,569,521",792,"13,579,697","1,258","7,846,372",23,"-169,188",950,"21,146,161",431,"1,904,069",96,"2,628,088",12,"137,862",151,"1,000,159",469,"7,058,217",407,"2,308,747",600,"16,553,452",753,"13,773,459",527,"1,730,543",455,"546,649",433,"173,191","2,803","50,915,447","2,675","35,844,127","2,043","8,317,258","2,850","29,212,122",476,"2,422,397","2,383","-24,880,457","2,862","-22,458,060",551,"585,775",102,"497,604",64,"1,162,035",726,"1,429,528",32,"567,664",783,"63,239,763",814,"63,807,427",790,"47,489,817",39,"254,119",815,"15,283,677",852,"15,537,796",494,"3,365,066",305,"858,438",162,"120,120","5,690","1,642,633","8,939","12,016","221,224,568"
NSW,2000,"36,185","35,777","1,726,846,366","19,471","451,625,706","11,888","24,967,897",364,"634,506","17,264","475,702,585",488,"2,403,303","31,293","1,211,344,572","2,634","19,742,260",206,"3,413,014",315,"9,500,571",373,"2,295,483",149,"1,702,404",80,"1,941,909",89,"4,666,192","13,510","30,352,478","1,048","4,884,930","2,760","72,342,546","2,751","30,997,800","35,883","1,814,620,616","1,543","5,685,266","2,450","3,973,457","5,909","1,944,897",912,"3,102,847","12,718","11,526,987",325,"224,934",590,"3,135,274",301,"4,260,839","4,007","18,272,691","8,562","8,784,253","18,058","74,946,260",765,"23,339,054","1,502","13,424,584",33,"-396,560","1,887","134,135,276",773,"22,453,717",598,"8,647,515",20,"1,196,196",156,"2,838,459",994,"96,176,954",875,"40,026,453","1,338","216,248,473","1,301","136,365,905",983,"13,856,035",856,"9,158,366",776,"3,510,567","3,576","134,622,020","2,713","59,291,528","1,890","10,648,060","3,591","62,662,761","1,838","29,341,144","1,772","-27,324,695","3,614","2,016,449","1,063","3,452,576",194,"3,652,310",350,"9,335,644",626,"4,607,456",140,"4,430,947","1,796","402,186,483","1,928","406,617,430","1,331","295,735,756",156,"351,849","1,846","107,823,913","1,987","108,175,762",963,"37,454,411",116,"676,203",129,"209,389","13,009","4,552,826","7,707","30,589","330,202,175"
NSW,2006,83,83,"6,715,139",68,"1,762,598",60,"120,986",2,"2,280",67,"1,885,487",5,"32,490",74,"6,122,252",14,"75,580",0,0,1,"5,500",4,"28,410",2,"33,889",1,"1,678",1,"43,259",57,"86,806",1,310,15,"35,271",15,"15,109",83,"7,030,907",20,"60,980",17,"49,933",20,"8,227",4,"2,725",46,"67,187",0,0,1,"2,770",1,"13,337",29,"30,537",41,"25,242",59,"315,768",7,"267,481",14,"81,112",0,0,7,"400,204",4,"48,480",2,"9,613",0,0,0,0,4,"4,512",4,529,5,"17,009",4,"13,976",3,"1,234",3,"1,234",1,18,20,"588,474",19,"286,409",7,"37,232",19,"242,953",8,"85,587",13,"-63,707",21,"21,880",10,"2,382",1,4,1,"35,000",6,"19,830",0,0,4,"279,932",4,"279,932",4,"195,884",0,0,4,"81,648",4,"81,648",3,"3,993",2,"4,577",1,"1,031",28,"9,525",50,72,"1,874,782"
NSW,2007,"4,769","4,731","221,990,941","3,335","45,507,237","2,460","3,513,892",56,"65,060","3,071","48,057,577",176,"782,027","4,153","196,795,923",504,"2,012,002",47,"804,088",62,"1,028,457",217,"1,428,801",41,"456,009",12,"133,104",18,"428,812","2,810","3,822,985",173,"123,165",525,"3,488,326",522,"1,494,242","4,733","230,384,514",460,"1,345,738",559,"774,401","1,440","443,052",304,"917,133","2,172","2,550,023",65,"36,107",99,"308,319",49,"246,689",977,"496,012","1,613","460,077","3,100","8,298,088",145,"2,736,883",314,"2,050,648",1,508,234,"4,243,886",102,"346,331",61,"1,111,203",0,0,44,"397,707",148,"3,007,541",128,"980,570",189,"6,212,351",186,"4,736,052",138,"869,660",116,"337,177",116,"175,249",546,"16,068,814",447,"8,399,413",255,"1,175,029",544,"7,174,918",253,"2,754,432",295,"-3,434,978",548,"-680,546",151,"223,026",25,"46,313",23,"455,895",123,"261,681",20,"385,833",364,"220,452,043",384,"220,837,876",334,"213,592,527",20,"167,973",373,"6,869,445",393,"7,037,418",205,"1,501,057",18,"39,124",19,"20,984","2,166","705,271","1,759","4,013","47,915,592"
NSW,2008,"5,607","5,586","610,133,129","4,307","202,913,111","3,582","11,307,373",102,"139,035","4,061","219,196,992",422,"1,877,644","5,008","267,517,783",711,"3,427,086",62,"750,558",79,"882,845",406,"2,375,459",40,"430,480",29,"355,209",22,"749,523","3,506","6,566,109",250,"153,300",662,"155,939,274",661,"66,831,196","5,590","632,576,912",639,"1,743,410",876,"1,127,891","1,646","536,471",432,"1,297,490","2,879","3,663,376",91,"33,763",131,"326,696",49,"138,803","1,503","11,392,635","1,939","711,175","3,873","21,960,972",237,"4,394,075",399,"2,942,043",6,"-109,864",313,"8,267,553",137,"1,151,234",94,"1,986,109",0,0,80,"636,498",178,"96,610,816",160,"46,659,251",235,"195,360,394",202,"7,207,769",198,"1,596,246",175,"1,067,966",158,"362,000",606,"21,655,649",511,"8,592,647",309,"1,245,476",606,"10,704,985",240,"4,787,307",370,"-3,674,766",612,"1,112,541",214,"148,406",30,"118,616",24,"552,428",141,"433,867",24,"429,844",524,"28,794,545",548,"29,224,389",481,"15,475,338",27,"47,157",554,"13,254,379",580,"13,301,536",347,"3,334,467",41,"94,380",25,"33,688","2,664","837,222","2,493","4,886","68,574,753"
NSW,2009,"9,726","9,630","806,658,299","7,770","224,497,726","6,366","14,257,916",225,"307,736","7,358","238,617,083",397,"1,877,511","8,167","604,913,191","1,110","9,826,712",136,"2,680,613",183,"5,308,471",273,"1,573,202",133,"1,384,476",79,"1,961,413",70,"2,591,568","6,149","16,568,026",821,"1,216,072","2,033","32,731,313","2,024","14,022,125","9,660","841,328,040","1,468","5,345,363","1,364","2,188,605","2,516","822,748",576,"1,662,284","5,103","6,798,551",201,"141,291",357,"1,186,070",249,"1,170,676","2,736","4,394,770","3,966","2,243,855","7,152","33,391,720",572,"11,511,473","1,034","10,941,745",19,"-114,927","1,092","45,739,489",512,"4,458,034",106,"3,083,341",13,"238,080",98,"1,719,122",623,"44,408,338",553,"19,282,100",869,"102,388,191",795,"41,216,194",748,"7,767,664",651,"3,569,025",546,"772,056","1,697","55,428,579","1,400","28,564,485",961,"4,604,390","1,706","26,394,284",732,"9,238,845",981,"-13,373,425","1,714","-4,134,580",529,"955,985",102,"3,059,230",137,"3,690,721",480,"3,718,347",30,"534,027",706,"174,294,650",736,"174,828,677",666,"148,513,009",37,"-50,766",735,"24,800,377",771,"24,749,611",460,"7,836,503",105,"454,295",107,"118,447","3,791","1,173,907","5,561","7,977","177,169,156"
NSW,2010,"20,287","20,179","1,619,682,473","17,059","430,271,374","14,495","29,077,912",593,"781,789","16,239","458,573,437","1,427","6,731,365","17,554","1,293,385,631","2,503","16,541,952",327,"5,173,012",432,"8,171,038",966,"5,721,767",232,"2,709,179",104,"1,804,944",113,"3,633,580","12,655","22,104,912","1,250","1,593,073","3,411","38,532,213","3,404","16,507,348","20,203","1,688,443,442","2,868","9,638,234","3,741","5,886,363","5,768","2,009,979","1,426","4,559,679","11,503","17,415,219",413,"203,518",508,"2,347,475",385,"2,232,332","6,291","7,193,802","8,718","5,309,573","15,615","67,316,973","1,250","21,830,975","1,955","17,240,098",28,"-895,012","1,837","78,774,297",901,"7,934,465",297,"7,333,668",22,"443,708",290,"3,113,456","1,009","62,565,025",905,"26,891,982","1,390","122,975,188","1,305","51,671,867","1,241","16,439,500","1,080","10,951,841","1,001","1,493,883","2,848","86,272,767","2,406","44,792,331","1,340","5,554,650","2,850","38,446,751","1,280","15,792,521","1,593","-18,313,486","2,876","-2,520,965","1,199","2,481,338",214,"1,759,783",273,"7,379,091",967,"3,029,332",76,"3,272,530","2,125","195,994,492","2,196","199,267,022","2,039","114,710,116",101,"-144,466","2,207","82,197,159","2,294","82,052,693","1,479","25,490,639",138,"485,155",153,"220,467","8,513","2,618,080","11,236","17,258","376,000,557"
NSW,2011,"14,945","14,858","1,284,841,167","12,357","356,428,603","10,731","23,278,269",459,"569,593","11,747","377,921,005",996,"4,820,372","12,444","933,105,321","1,999","13,596,232",214,"3,359,324",295,"8,184,373",587,"3,516,318",301,"3,591,173",113,"2,394,172",173,"7,171,571","9,403","26,536,414","1,198","2,865,602","3,073","67,467,560","3,062","28,885,517","14,891","1,348,691,553","2,090","7,537,346","2,634","5,208,292","4,137","1,452,910",999,"3,100,062","8,037","12,755,439",321,"136,849",462,"2,628,771",377,"3,297,571","4,804","8,820,766","6,757","5,072,549","11,485","60,481,615",884,"20,237,026","1,446","92,973,026",30,"-375,930","1,698","83,144,311",864,"11,337,936",199,"4,722,245",21,"1,866,990",227,"6,990,137",977,"34,680,626",879,"13,115,090","1,320","99,560,016","1,141","62,407,102","1,183","15,261,432","1,014","8,952,756",900,"2,525,444","2,207","70,406,915","1,689","32,887,854",950,"3,875,478","2,210","33,177,425","1,040","16,124,689","1,186","-15,658,531","2,232","466,158",951,"2,160,663",171,"739,380",286,"7,694,454",668,"2,682,655",68,"3,448,107","1,524","176,797,094","1,584","180,245,201","1,511","112,488,789",89,"-2,827,482","1,586","63,750,569","1,664","60,923,087","1,061","20,660,012",205,"889,647",213,"614,629","5,931","1,781,107","8,681","12,183","275,632,316"
NSW,2015,"7,254","7,213","528,163,260","6,416","125,195,936","5,838","9,826,944",165,"207,421","6,206","133,497,694",613,"2,520,408","6,471","473,897,119","1,167","5,770,138",118,"1,855,092",136,"2,205,040",330,"1,868,701",96,"1,130,788",44,"566,801",34,"1,077,314","4,612","5,474,743",479,"441,072","1,395","9,205,360","1,384","3,942,427","7,235","551,043,200","1,724","5,275,326","1,446","2,056,798","2,563","874,703",589,"1,544,145","4,750","6,823,509",167,"74,680",212,"343,817",123,"439,743","2,797","1,469,464","3,429","1,217,651","6,043","22,326,112",484,"8,800,839",766,"6,030,321",9,"-98,996",580,"12,447,997",302,"1,730,300",107,"3,127,987",5,"62,469",118,"1,418,189",344,"6,061,022",318,"2,087,219",457,"15,002,851",438,"11,013,964",359,"2,542,822",323,"1,334,741",292,"416,230","1,153","27,328,247","1,031","15,678,583",596,"2,188,226","1,153","12,428,330",424,"3,682,364",737,"-6,649,256","1,161","-2,966,892",400,"600,690",66,"487,468",64,"1,059,756",372,"1,136,309",22,"346,921",740,"48,566,605",762,"48,913,526",733,"31,796,796",28,"123,504",783,"15,937,259",811,"16,060,763",486,"3,605,563",50,"139,171",77,"76,999","3,107","904,569","4,800","6,340","129,921,084"
NSW,2016,"8,281","8,248","568,165,641","7,047","134,844,588","6,263","10,429,383",194,"235,048","6,686","143,606,055",696,"3,080,148","7,227","478,033,873","1,147","6,095,990",111,"1,728,848",148,"2,531,024",605,"3,661,608",158,"1,740,161",50,"788,859",33,"1,310,540","5,237","7,652,124",464,"349,420","1,421","8,946,299","1,418","3,832,518","8,259","594,203,425","1,442","4,154,197","1,481","2,474,058","2,697","910,936",639,"1,701,172","4,850","7,127,231",191,"122,306",195,"601,057",119,"516,086","2,760","2,005,515","3,751","1,505,804","6,468","24,567,109",467,"8,519,624",790,"6,544,763",11,"91,987",653,"18,189,220",350,"1,954,005",133,"3,021,622",6,"165,479",134,"1,524,612",351,"14,826,334",318,"5,789,456",444,"32,684,161",454,"17,995,517",424,"3,555,544",383,"2,109,166",354,"667,889","1,150","30,391,506",972,"15,996,126",551,"2,080,406","1,158","13,867,130",516,"5,398,352",647,"-6,950,508","1,163","-1,552,156",447,"1,572,538",72,"245,851",91,"2,356,665",358,"1,075,552",31,"704,774",993,"76,479,168","1,020","77,183,942",953,"45,986,827",35,"143,000","1,017","29,974,106","1,048","30,117,106",685,"8,452,077",55,"186,628",59,"43,538","3,758","1,137,775","4,694","7,098","130,097,755"
NSW,2017,"12,727","12,671","800,139,951","10,759","177,307,119","9,161","13,953,280",315,"351,042","10,244","188,833,249",874,"3,807,002","11,306","737,784,299","2,128","10,015,781",170,"1,646,327",248,"1,938,890",635,"3,910,016",173,"2,082,171",41,"499,057",38,"1,018,243","8,038","10,943,358",519,"300,909","1,598","7,094,860","1,594","3,039,536","12,683","838,418,996","2,982","9,498,866","2,522","3,631,824","4,699","1,845,425","1,138","3,054,472","7,851","11,561,105",251,"126,559",314,"338,778",140,"462,822","3,941","1,672,116","5,641","1,868,234","10,024","37,368,044",724,"12,614,084",898,"5,646,789",7,"-36,388",727,"14,109,981",316,"1,091,654",177,"3,705,651",12,"147,886",129,"1,424,957",453,"9,000,777",412,"2,680,372",588,"19,717,595",526,"14,691,515",496,"3,875,656",432,"1,789,907",398,"536,054","1,730","42,725,974","1,563","26,307,443",970,"4,773,131","1,742","20,487,495",500,"4,038,219","1,251","-12,880,314","1,755","-8,842,095",583,"1,012,878",66,"290,252",75,"1,795,369",446,"1,489,460",42,"562,074","1,086","126,693,100","1,124","127,255,174","1,008","97,817,070",46,"267,784","1,120","27,957,894","1,162","28,225,678",728,"6,825,518",42,"113,051",89,"76,734","5,826","1,709,012","6,765","11,101","193,768,831"
